# Conversion coefficients from K_air to different operational magnitudes for different x-ray radiation qualities
Quality,Distance (m),H´(0.07),H´(3),H*(10),X,K_air,D_air
L-10,1.00,0.9080,0.1370,,114.1,1.0,1.0
L-10,2.50,0.9150,0.1540,,114.1,1.0,1.0
L-20,1.00,1.0100,0.7730,0.393,114.1,1.0,1.0
L-20,2.50,1.0100,0.7730,0.396,114.1,1.0,1.0
L-30,1.00,1.1600,1.1100,0.937,114.1,1.0,1.0
L-30,2.50,1.1600,1.1100,0.938,114.1,1.0,1.0
L-35,1.00,1.2200,1.2100,1.090,114.1,1.0,1.0
L-35,2.50,1.2200,1.2100,1.100,114.1,1.0,1.0
L-55,,1.4900,1.5600,1.620,114.1,1.0,1.0
L-70,,1.5900,1.6800,1.730,114.1,1.0,1.0
L-100,,1.5900,1.6500,1.700,114.1,1.0,1.0
L-125,,1.5200,1.5700,1.610,114.1,1.0,1.0
L-170,,1.4200,1.4700,1.490,114.1,1.0,1.0
L-210,,1.3600,1.4100,1.420,114.1,1.0,1.0
L-240,,1.3400,1.3700,1.380,114.1,1.0,1.0
N-10,1.00,0.8850,0.0956,,114.1,1.0,1.0
N-10,2.50,0.9020,0.1260,,114.1,1.0,1.0
N-15,1.00,0.9630,0.4270,,114.1,1.0,1.0
N-15,2.50,0.9670,0.4610,,114.1,1.0,1.0
N-20,1.00,0.9990,0.6930,0.307,114.1,1.0,1.0
N-20,2.50,1.0000,0.7100,0.323,114.1,1.0,1.0
N-25,1.00,1.0500,0.8840,0.566,114.1,1.0,1.0
N-25,2.50,1.0500,0.8890,0.576,114.1,1.0,1.0
N-30,1.00,1.1200,1.0300,0.810,114.1,1.0,1.0
N-30,2.50,1.1200,1.0300,0.814,114.1,1.0,1.0
N-40,1.00,1.2700,1.2700,1.190,114.1,1.0,1.0
N-40,2.50,1.2700,1.2700,1.200,114.1,1.0,1.0
N-60,,1.4800,1.5400,1.590,114.1,1.0,1.0
N-80,,1.6000,1.6800,1.740,114.1,1.0,1.0
N-100,,1.5900,1.6600,1.710,114.1,1.0,1.0
N-120,,1.5500,1.6000,1.650,114.1,1.0,1.0
N-150,,1.5000,1.5400,1.580,114.1,1.0,1.0
N-200,,1.3900,1.4400,1.460,114.1,1.0,1.0
N-250,,1.3400,1.3800,1.390,114.1,1.0,1.0
N-300,,1.3300,1.3400,1.350,114.1,1.0,1.0
W-30,1.00,1.0800,0.9570,0.687,114.1,1.0,1.0
W-30,2.50,1.0900,0.9630,0.697,114.1,1.0,1.0
W-40,1.00,1.1900,1.1500,0.998,114.1,1.0,1.0
W-40,2.50,1.1900,1.1600,1.010,114.1,1.0,1.0
W-60,,1.4300,1.4800,1.500,114.1,1.0,1.0
W-80,,1.5400,1.6100,1.660,114.1,1.0,1.0
W-110,,1.5900,1.6600,1.710,114.1,1.0,1.0
W-150,,1.5300,1.5700,1.620,114.1,1.0,1.0
W-200,,1.4400,1.4900,1.520,114.1,1.0,1.0
W-250,,1.3800,1.4200,1.440,114.1,1.0,1.0
W-300,,1.3500,1.3800,1.390,114.1,1.0,1.0
