# Conversion coefficients from K_air to different operational magnitudes for different x-ray radiation qualities and air attenuation coefficient
Quality,Distance (m),h_k[H´(0.07)],h_k[H´(3)],h_k[H*(10)],h_k[X],h_k[K_air],h_k[D_air],mu_air
L-10,1,0.908,0.137,,114.1,1,1,9.9
L-10,2.5,0.915,0.154,,114.1,1,1,9.9
L-20,1,1.01,0.773,0.393,114.1,1,1,1.5
L-20,2.5,1.01,0.773,0.396,114.1,1,1,1.5
L-30,1,1.16,1.11,0.937,114.1,1,1,0.5
L-30,2.5,1.16,1.11,0.938,114.1,1,1,0.5
L-35,1,1.22,1.21,1.09,114.1,1,1,0.275
L-35,2.5,1.22,1.21,1.1,114.1,1,1,0.275
L-55,,1.49,1.56,1.62,114.1,1,1,0.22
L-70,,1.59,1.68,1.73,114.1,1,1,0.1825
L-100,,1.59,1.65,1.7,114.1,1,1,0.1644
L-125,,1.52,1.57,1.61,114.1,1,1,0.1541
L-170,,1.42,1.47,1.49,114.1,1,1,0.145
L-210,,1.36,1.41,1.42,114.1,1,1,0.132
L-240,,1.34,1.37,1.38,114.1,1,1,0.129
N-10,1,0.885,0.0956,,114.1,1,1,9.9
N-10,2.5,0.902,0.126,,114.1,1,1,9.9
N-15,1,0.963,0.427,,114.1,1,1,3.3
N-15,2.5,0.967,0.461,,114.1,1,1,3.3
N-20,1,0.999,0.693,0.307,114.1,1,1,1.5
N-20,2.5,1,0.71,0.323,114.1,1,1,1.5
N-25,1,1.05,0.884,0.566,114.1,1,1,0.83
N-25,2.5,1.05,0.889,0.576,114.1,1,1,0.83
N-30,1,1.12,1.03,0.81,114.1,1,1,0.5
N-30,2.5,1.12,1.03,0.814,114.1,1,1,0.5
N-40,1,1.27,1.27,1.19,114.1,1,1,0.275
N-40,2.5,1.27,1.27,1.2,114.1,1,1,0.275
N-60,,1.48,1.54,1.59,114.1,1,1,0.22
N-80,,1.6,1.68,1.74,114.1,1,1,0.1825
N-100,,1.59,1.66,1.71,114.1,1,1,0.1644
N-120,,1.55,1.6,1.65,114.1,1,1,0.1541
N-150,,1.5,1.54,1.58,114.1,1,1,0.145
N-200,,1.39,1.44,1.46,114.1,1,1,0.132
N-250,,1.34,1.38,1.39,114.1,1,1,0.129
N-300,,1.33,1.34,1.35,114.1,1,1,0.115
W-30,1,1.08,0.957,0.687,114.1,1,1,
W-30,2.5,1.09,0.963,0.697,114.1,1,1,
W-40,1,1.19,1.15,0.998,114.1,1,1,
W-40,2.5,1.19,1.16,1.01,114.1,1,1,
W-60,,1.43,1.48,1.5,114.1,1,1,0.22
W-80,,1.54,1.61,1.66,114.1,1,1,0.193
W-110,,1.59,1.66,1.71,114.1,1,1,0.167
W-150,,1.53,1.57,1.62,114.1,1,1,0.158
W-200,,1.44,1.49,1.52,114.1,1,1,0.134
W-250,,1.38,1.42,1.44,114.1,1,1,0.13
W-300,,1.35,1.38,1.39,114.1,1,1,0.115
