Operational quantity,H10,H100,H150,H20,H200,H250,H280,H30,H300,H350,H40,H400,H60,H80,L10,L100,L125,L170,L20,L210,L240,L30,L35,L55,L70,N10,N100,N120,N15,N150,N20,N200,N25,N250,N30,N300,N350,N40,N400,N60,N80,W110,W150,W200,W250,W30,W300,W40,W60,W80
H*(10) 0º,0.0004426111126511,1.577266945373823,1.6756421468285307,0.0846678464152611,1.6216427476151876,1.5511727907429127,1.4927930965115823,0.3831869209008606,1.4945606127387203,1.442521904287598,0.682657592580187,1.4048998962764512,1.193246238306163,1.4554897270541984,0.0017455798494757,1.714942069925005,1.6244573669832076,1.4979526268182126,0.3928089222038179,1.4238284331967388,1.3830307499958634,0.935111821650721,1.0908660595185844,1.5895787903940966,1.738628210147965,0.0008902850347177,1.7253361994968306,1.6576158560947163,0.0769570523156216,1.589672120828281,0.3016667297566703,1.4612471675036047,0.5637784063739975,1.3886298561377337,0.8078576056698282,1.340767138533948,1.3070282155314803,1.1786185795816368,1.279388709444767,1.5652667635344528,1.746398203319398,1.7235408830281598,1.631694351928106,1.5237002247300548,1.4433856268895344,0.6844645503465243,1.3901382670976508,0.9933416509907854,1.4777911704467976,1.6539119782145362
H_prime(0.07) 0º,0.8964452402777284,1.4892970652691009,1.5502275762208833,0.958308777151554,1.5141911382127584,1.4652859824108686,1.4241026167027415,1.017585335468231,1.4247369101680183,1.3866996865243977,1.0882481869811091,1.358508122967267,1.2784879740663109,1.417150670469619,0.9319352393423492,1.579444788485221,1.5203944837771393,1.429949082008351,1.0127185254113649,1.3748675640992822,1.343525000704596,1.1481738718312695,1.2132989316657248,1.4884826338242252,1.587454408078441,0.9184535945640638,1.5856798797182083,1.5423409700390784,0.9651841201273264,1.495868901550835,0.9997675681243148,1.4027592970951954,1.0456372923488184,1.347782799653325,1.1082728621524915,1.3103678809098434,1.2835189933220903,1.2567339417438104,1.261601191615936,1.4747597389063585,1.5942762948893725,1.5830275054059155,1.5239933747841852,1.448114080386069,1.3890110432450866,1.0769481306668782,1.348542743915551,1.1802222214209277,1.423382471595013,1.5331920585108496
H_prime(0.07) 15º,0.8935921389943324,1.4854756080806528,1.5470696677810258,0.9571932726573512,1.512284815879388,1.464364840944994,1.4239091113132776,1.016746090644033,1.4244728042996664,1.3869772032806085,1.0871092690216917,1.3591217324438565,1.2759504756541462,1.4136139455359509,0.9301822214791772,1.576613754887909,1.5190252823995145,1.4298644601154484,1.0119979932634748,1.3753277790628804,1.344351468173719,1.1467173236397663,1.2114371580195802,1.4840675405173878,1.5829144781541509,0.9162779008359568,1.582560410203527,1.5404954026204216,0.9644492716167776,1.4948323149732552,0.9990873095775,1.403000283484194,1.044769651008303,1.3485746414637465,1.107076272718143,1.3115675765915955,1.284934364152185,1.2544806817357013,1.2631577430192096,1.4705284203080835,1.589957594674237,1.5797036617456413,1.5223307263363248,1.447746068539559,1.3893511198119763,1.0759177116042096,1.3493302294171765,1.1785298455576272,1.4195980185505714,1.5288901166771105
H_prime(0.07) 180º,0.0,0.026576653391149,0.0514021508270717,0.0,0.067374103716074,0.0790993562611369,0.0881778086904515,2.823450971124305e-06,0.08819631426443,0.0973547764901576,0.0001645333593478,0.1052146496765971,0.0044840441500446,0.015401556034815,0.0,0.0627672995307736,0.0730018128276021,0.085028993478174,0.0,0.0956056068349075,0.1037848002943806,5.584876579794875e-05,0.0004698666975809,0.0160458728875456,0.0363603633169905,0.0,0.0601978593337593,0.0695605259203876,0.0,0.0761089805531052,0.0,0.0900006840188485,2.4225582897687786e-07,0.10285468600909,2.2232656101592696e-05,0.1155933632485231,0.1276674158104608,0.0013566857706359,0.139970781648993,0.0158081864622114,0.0421695299092049,0.0557709926546983,0.0708752316437845,0.082996393684109,0.0937738662865591,1.0949893498597571e-05,0.1040327145952477,0.0005493365354834,0.011519405849242,0.028148570049297
H_prime(0.07) 30º,0.8840903285840026,1.4739673902554928,1.5375531170312644,0.953564322127835,1.5066106796152323,1.4618749606396886,1.4237634354639792,1.0141270613843931,1.4241082477989842,1.3883540178554723,1.0835730833289945,1.361567219424075,1.2680665061910692,1.402845511359354,0.9247089482522984,1.5680250504813813,1.514548666604069,1.4299628306770595,1.0099436024912711,1.377724092101954,1.3478153872887222,1.1421367142307723,1.2052541817299276,1.471010903397037,1.5692363436555044,0.9092503137609532,1.5732443245923002,1.5345880835779906,0.9617598270417184,1.491638467880685,0.9970366834255646,1.4042596571370347,1.0422393729809538,1.351878019260997,1.1033569673282395,1.315920393265584,1.2898458300323168,1.2471730739373272,1.268403837638221,1.4579164327283547,1.5769866463529236,1.5696801335819313,1.5172096062940914,1.4468571540856694,1.3910625928361826,1.0727887391971718,1.352490969383822,1.173093125817291,1.408163400905005,1.516004683640371
H_prime(0.07) 45º,0.8636240089319162,1.4533151340489163,1.5209370499574466,0.9456465614224284,1.497035674180305,1.4580780206464112,1.4242283027811729,1.0086010341497025,1.4241853769937856,1.391626822068104,1.0764079847858796,1.3668262196920078,1.2531974192377453,1.383231445637216,0.9126927784984789,1.5531213194715807,1.5072250890682617,1.4308136363864925,1.0056296908186977,1.3827038633963094,1.354818835464289,1.1329211861148147,1.1931148346227114,1.4476077787781818,1.5451058417533494,0.8939242254021837,1.5570218045032396,1.524604825935678,0.9559096080148952,1.4866613413035257,0.992680895099838,1.407210902600539,1.0369859171043914,1.3585883665824814,1.095786927111066,1.3246945281111415,1.2997627449354063,1.233046117749374,1.2790419384716534,1.4352291456574484,1.5541967041903308,1.552194213054187,1.5086956227681294,1.4459752989556376,1.3948592880253747,1.066367834295458,1.3589815986764051,1.1623661713361493,1.3873458348759278,1.4930756305478126
H_prime(0.07) 60º,0.8190967163641872,1.4191326059772156,1.493701908831224,0.9279586998817472,1.4810145257963956,1.4512720369424263,1.4242543914526806,0.9970569251604616,1.4236438229174295,1.3963342982311773,1.0625854357213074,1.3748831063816245,1.227154057597429,1.3502354059770283,0.88566764053193,1.5288960802204774,1.4946804242153644,1.4312130120824982,0.996747222818198,1.3899625709548178,1.365504122265347,1.1155480155511754,1.1710295882330204,1.4088052329345762,1.5060820669448534,0.8598872972463946,1.5307362546401946,1.507968232954026,0.942811315005182,1.4777925674214096,0.9834969825210856,1.411053084505092,1.02641844661726,1.3687832828966462,1.0811890862691345,1.33863673815873,1.3159236033975563,1.2078923669771295,1.2966544591270883,1.3975086511628043,1.5173905984390592,1.5238435905328536,1.494330491057413,1.4436578043130626,1.4001838744316972,1.0537703886047167,1.3689003288931358,1.142650237002199,1.3523121117451995,1.4555002234645975
H_prime(0.07) 75º,0.6941655017017229,1.3614772350981297,1.446608764544753,0.8738558783946863,1.450137961924773,1.4338457823754545,1.4169061858944232,0.9666617767152292,1.4155765928296058,1.3963028236239134,1.0330017102025235,1.3802107119459814,1.1804028473428303,1.293840110770464,0.8032610446819384,1.486340644001171,1.4685988874962852,1.423867502298962,0.9739401155835964,1.393192823185253,1.3743133084880814,1.0815595641155256,1.1296104249136163,1.3442194137385728,1.4422274643854156,0.7594443941583545,1.4852641996348988,1.4761060348684212,0.9016645944196032,1.4569918245162583,0.9580953960086932,1.4089854588669393,1.0023352264842236,1.3768228609609112,1.0515528328001658,1.3531281188865651,1.3346411574528652,1.1619261067714906,1.3185513974517773,1.3344011047660078,1.456822505464375,1.475382193756449,1.465722067362789,1.4324698276448946,1.4005672632271595,1.0268535217789347,1.3766665896207757,1.1050558076971932,1.2927394476581835,1.3932058677326769
H_prime(0.07) 90º,0.0213026523259886,1.168626916669306,1.2803221691241184,0.2163299237397031,1.3107137666753927,1.316679215864358,1.3167426127711572,0.5165943227343088,1.3146035219676533,1.3098643443740785,0.7151250763333312,1.3041956688355572,0.9621599339075166,1.092250183985348,0.0544076529248983,1.328557067331826,1.3357548224710722,1.3220868808132142,0.5687036677504664,1.3106282753722387,1.3030483827874852,0.8504093825241119,0.9156851652034256,1.144388099365554,1.2510049557935328,0.0354167962200603,1.3230934853450582,1.3344249929013758,0.2552578675203492,1.3327167806285924,0.4938910154163083,1.3166488309597646,0.6682615960361338,1.3040648213676596,0.7922553903408003,1.2942221553520528,1.2859837999037598,0.952566865423574,1.2785297363354478,1.1347590259050149,1.271127145236037,1.3084599093031088,1.3292503093873649,1.3244991636616132,1.3132515922208257,0.729146076744071,1.3038309410341833,0.8728608098781796,1.0914617628596608,1.1996187262211042
H_prime(3) 0º,0.0527231586597393,1.553018889859412,1.6218071905976017,0.3527741833542411,1.575034994109238,1.5152624957467244,1.4656250930698058,0.7164088330152824,1.466824241280636,1.421910416652262,0.9505425199373296,1.3890681403505487,1.2833986883952564,1.4652989035878068,0.1261691500362302,1.6522488197515806,1.5790143530597442,1.4712074650587943,0.7756401835678531,1.4069721994506967,1.3711237667060356,1.108575779317058,1.2073022210924942,1.558706574931204,1.6721184437878387,0.0852398626778807,1.660613143006394,1.6061381857270056,0.4219883617027039,1.5493704623902471,0.695360920280653,1.4394345899086325,0.8842945140104274,1.3759892729304433,1.032506852207458,1.333132603448472,1.3025794456214486,1.2662136909869488,1.277719467552047,1.541430350829414,1.6781156077476471,1.6593835472731329,1.5842082860352882,1.492943486968017,1.4237054775607811,0.9574133627443504,1.3769652582893792,1.1484696623887003,1.4779971922365402,1.6084226927649783
