E keV,hK 0 Sv/Gy,hK 15 Sv/Gy,hK 30 Sv/Gy,hK 45 Sv/Gy,hK 60 Sv/Gy,hK 75 Sv/Gy
2,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
3,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
4,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
5,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
6,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
7,0.00000091905338037280,0.00000048098919737512,0.00000009607560097485,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
8,0.00007366722062401090,0.00005456856254290210,0.00001832617377341100,0.00000270945482835954,0.00000038370108704729,0.00000008931341594396
9,0.00134785597062625000,0.00106595598088067000,0.00049808680620585700,0.00010442247470274400,0.00000868232055333546,0.00000159304662509782
10,0.00833697206615089000,0.00703444672148949000,0.00401366773563227000,0.00123770952388354000,0.00012893516168231700,0.00001498214592815820
11,0.02797719005393450000,0.02468344499324540000,0.01609600422761970000,0.00653631938023305000,0.00102731040190965000,0.00009568268326546520
12,0.06486141776461740000,0.05888514534293570000,0.04229453658693160000,0.02091192057660620000,0.00472026247684589000,0.00036227329521757200
13,0.11798163514480200000,0.10925358884499300000,0.08398868278669980000,0.04798007739323190000,0.01435352177847390000,0.00113097915056779000
14,0.18314170436600100000,0.17193502781008700000,0.13930998809785300000,0.08839096523703830000,0.03269069689411530000,0.00304807848161183000
15,0.25471046882442200000,0.24211472044771600000,0.20375292193643800000,0.13990581927891000000,0.06119525044247890000,0.00712437022200966000
16,0.32928778699800900000,0.31579944862640500000,0.27329841089310600000,0.19960665817530200000,0.09960852275164210000,0.01470751080953580000
17,0.40373676437864400000,0.38971119174803900000,0.34459547426031700000,0.26361042052082400000,0.14546273210322600000,0.02668254768605840000
18,0.47473512844675700000,0.46036471659693700000,0.41436954757380600000,0.32867540624637400000,0.19624844259403100000,0.04367749900675980000
19,0.54287238383383000000,0.52912608562292400000,0.48260551403872300000,0.39427429842591100000,0.25091892604626500000,0.06572727901274350000
20,0.60878336347045300000,0.59429530745777500000,0.54894997067463800000,0.45841020023752800000,0.30706357868760400000,0.09238628162455450000
22,0.73054795197727700000,0.71606873239850800000,0.67068395032173000000,0.58079327706153100000,0.41893668166584200000,0.15550067521682900000
24,0.83880873350503500000,0.82368441203753800000,0.78078423639428800000,0.69161379506167900000,0.52513163397440800000,0.22564387891265800000
26,0.93933304444436400000,0.92518821419346500000,0.88360717719001700000,0.79335627956682400000,0.62554894950204500000,0.29926228508968800000
28,1.03404083648468000000,1.02030585694389000000,0.97934273134160500000,0.88830012927984800000,0.71627767900486100000,0.37001231487013400000
30,1.11952631087252000000,1.10731440075099000000,1.06556875331705000000,0.97606681399338600000,0.80060901675442500000,0.43772986626504300000
32,1.20607479672374000000,1.19174065717558000000,1.14895892296564000000,1.05879193439111000000,0.87877555410998700000,0.50354774598363400000
