E keV,hK 0 Sv/Gy
2,0.01943053305948300000
3,0.31665925276590200000
4,0.58584777937152900000
5,0.75562525359227900000
6,0.84417438722999500000
7,0.89253856552446900000
8,0.91962636181289000000
9,0.93727429562304300000
10,0.94929595433838400000
11,0.95888232457447400000
12,0.96722652233388900000
13,0.97457927617451500000
14,0.98372989870939100000
15,0.99182150958404200000
16,1.00242247351082000000
17,1.01360860847160000000
18,1.02186328756727000000
19,1.03302277626035000000
20,1.04663953029443000000
22,1.07425284973818000000
24,1.09996737067273000000
26,1.12909157842421000000
28,1.15553606506889000000
30,1.18059043225256000000
32,1.20868603268913000000
34,1.23333687413795000000
36,1.25515070692716000000
38,1.27504437036837000000
40,1.29551210434430000000
42,1.31197503085660000000
44,1.32771346957243000000
46,1.34248173076754000000
48,1.35341869858418000000
50,1.36454276527319000000
52,1.37395732160017000000
54,1.37995209098196000000
56,1.38414884981566000000
58,1.38796995489957000000
60,1.39352730773585000000
65,1.39679219027099000000
70,1.39254350720297000000
75,1.39100057784688000000
80,1.38574947922020000000
85,1.37859157487711000000
90,1.37065001869102000000
95,1.36172127209545000000
100,1.35419139359582000000
110,1.33984081619517000000
120,1.32794734523362000000
130,1.31366231883806000000
140,1.30023168089721000000
150,1.28791743176287000000
160,1.27974565665203000000
170,1.27034014250439000000
180,1.26152154486039000000
190,1.25515499319673000000
200,1.24869661658942000000
225,1.23317225478720000000
240,1.22615562751553000000
250,1.22223548277590000000
275,1.21090355905652000000
300,1.20178467198278000000
325,1.19462134742498000000
350,1.18735703124657000000
375,1.18157361171940000000
400,1.17708555601682000000
425,1.17169035506494000000
450,1.16767287571776000000
500,1.16142634933357000000
511,1.15991725241880000000
550,1.15483419277633000000
600,1.15074798990603000000
662,1.14487758582972000000
700,1.14351464351733000000
800,1.13821893270458000000
900,1.13271110684311000000
1000,1.12955333425051000000
1117,1.12485616967979000000
1173,1.12345599388028000000
1250,1.12212857065210000000
1332,1.12033935503388000000
1500,1.11755410176068000000
1700,1.11454815809449000000
1750,1.11372827020615000000
2000,1.11151016824464000000
2400,1.10707990718625000000
2500,1.10662000421780000000
3000,1.10210827750110000000
3500,1.09780958774699000000
4000,1.09503302303257000000
4440,1.09132946878662000000
5000,1.08901753904362000000
6000,1.08290830851640000000
6129,1.08211288506686000000
7000,1.07718424093587000000
8000,1.07255561404499000000
9000,1.06782540075639000000
10000,1.06411197570902000000
12500,1.05503061459042000000
15000,1.04790459378309000000
17500,1.04164628313779000000
20000,1.03700992130958000000
25000,1.02932435988112000000
30000,1.02391086530090000000
35000,1.01803007979947000000
40000,1.01665009776989000000
45000,1.01265249608532000000
50000,1.01162540315917000000
