E keV,hK 0 Sv/Gy,hK 15 Sv/Gy,hK 30 Sv/Gy,hK 45 Sv/Gy,hK 60 Sv/Gy,hK 75 Sv/Gy,hK 90 Sv/Gy,hK 180 Sv/Gy
2,0.01953103211987250000,0.01694204908387590000,0.01049068993608100000,0.00370073482077593000,0.00035966718591029900,0.00000174382027729510,0.00000001461441449315,0.00000000000000000000
3,0.31673460529556700000,0.30308186907514900000,0.26101428314788100000,0.18862371861621800000,0.09076481039623850000,0.00912396238660927000,0.00000188801218978780,0.00000000000000000000
4,0.58555006147660800000,0.57469351500601400000,0.53912249773627100000,0.46910597989352100000,0.34279017894948400000,0.12703566266465700000,0.00001329680735870330,0.00000000000000000000
5,0.75506619922665000000,0.74792437049156600000,0.72391179326492900000,0.67413761952959500000,0.57386051402473300000,0.34410861237509500000,0.00005052843830072370,0.00000000000000000000
6,0.84373742682387900000,0.83921533915674400000,0.82370352681017500000,0.79073435277187400000,0.72064199393127700000,0.53591997097027100000,0.00044069847612823200,0.00000000000000000000
7,0.89193021765457400000,0.88897895149979700000,0.87875749311008300000,0.85673097010126200000,0.80843098010479500000,0.67097395939353900000,0.00467127846620076000,0.00000000000000000000
8,0.91929432574335300000,0.91712412244663100000,0.91025339148539300000,0.89512830650037800000,0.86133378704137800000,0.76029139599486900000,0.02173235895215310000,0.00000000000000000000
9,0.93695667866563200000,0.93533413802281500000,0.93045440758210400000,0.91970204869537500000,0.89537604756537700000,0.82002477577245600000,0.05913676302578290000,0.00000000000000000000
10,0.94905809569939300000,0.94794056182055400000,0.94428592400056700000,0.93632727056613300000,0.91820509955793400000,0.86075781746194200000,0.11683363648986000000,0.00000000000000000000
11,0.95888120510201100000,0.95805012547509300000,0.95522445474357200000,0.94901906019591600000,0.93496458028292200000,0.88995700137626600000,0.18808255378965500000,0.00000000000000000000
12,0.96696930796378400000,0.96648059182568700000,0.96414808298477200000,0.95906099227458600000,0.94768723487888500000,0.91130009696060800000,0.26519514802710000000,0.00000000000000000000
13,0.97487527729143000000,0.97440105209371000000,0.97237242208123900000,0.96791997439153200000,0.95819835783826500000,0.92776890765121000000,0.34080984209501800000,0.00000000000000000000
14,0.98426633276776900000,0.98377244010878800000,0.98182773776404800000,0.97781485990982400000,0.96898652863052900000,0.94253240308383200000,0.41209168733769400000,0.00000000000000000000
15,0.99242927079966900000,0.99164196934439700000,0.98981686142535800000,0.98588035414900000000,0.97750632957929300000,0.95367256734243300000,0.47585215685212700000,0.00000000000000000000
16,1.00334789619758000000,1.00260766084503000000,1.00075707246365000000,0.99668577802461500000,0.98833756821528200000,0.96596601089372000000,0.53342181988600800000,0.00000000000000000000
17,1.01450666926857000000,1.01385060693914000000,1.01183555835590000000,1.00761801480959000000,0.99908920452703700000,0.97725170127611800000,0.58389547318981600000,0.00000000000000000000
18,1.02308151009013000000,1.02233957063707000000,1.02016674795312000000,1.01571511123478000000,1.00665285077244000000,0.98492462393292000000,0.62640888108082400000,0.00000000000000000000
19,1.03503408212278000000,1.03420076927271000000,1.03187939776183000000,1.02711761004719000000,1.01741546757862000000,0.99515411001269000000,0.66504317669548400000,0.00000000000000000000
20,1.04969751308144000000,1.04890027446391000000,1.04637568550840000000,1.04112719794299000000,1.03063022281218000000,1.00744386635234000000,0.70050699860321200000,0.00000000000000000000
22,1.08011984708846000000,1.07897738124838000000,1.07595800724247000000,1.06967444512205000000,1.05718892558409000000,1.03115702537094000000,0.76018860951590500000,0.00000005582088094609
24,1.10962421485356000000,1.10864172484572000000,1.10490826281593000000,1.09734308975557000000,1.08260573963798000000,1.05293454140124000000,0.80725309004097500000,0.00000300848265300432
26,1.14468406702900000000,1.14321990516796000000,1.13880417892038000000,1.12979842144174000000,1.11272815339515000000,1.07915701358126000000,0.85009702465382000000,0.00001990911521050070
28,1.17940592311700000000,1.17775549616395000000,1.17242542879101000000,1.16183293449401000000,1.14227131667351000000,1.10471733944687000000,0.88696920636330800000,0.00009535274080762260
