E keV,hK 0 Sv/Gy
2,0.01944837009748100000
3,0.31663595401929500000
4,0.58583833713245900000
5,0.75546607514970900000
6,0.84393573443253100000
7,0.89213991436507100000
8,0.91913856013333600000
9,0.93692203241113300000
10,0.94892312513557600000
11,0.95824706340969900000
12,0.96595680428782700000
13,0.97315408899122000000
14,0.98107982782684100000
15,0.98763726173723400000
16,0.99613705768256800000
17,1.00362149830259000000
18,1.00766494463079000000
19,1.01389419400684000000
20,1.02213098671648000000
22,1.03576847044636000000
24,1.04438990853546000000
26,1.05431300172983000000
28,1.06181032394231000000
30,1.06770717511868000000
32,1.07503382013978000000
34,1.08124431558800000000
36,1.08626534836329000000
38,1.09089725210170000000
40,1.09656449401786000000
42,1.10147007953060000000
44,1.10670338612378000000
46,1.11221879618112000000
48,1.11641909435127000000
50,1.12176646525559000000
52,1.12755921509747000000
54,1.13148546399981000000
56,1.13366469287370000000
58,1.13876258162022000000
60,1.14372987248398000000
65,1.15082007071224000000
70,1.15504129814658000000
75,1.16189973024163000000
80,1.16589544121267000000
85,1.16800886512694000000
90,1.16976650877523000000
95,1.17016233081512000000
100,1.17048819444173000000
110,1.17034536296453000000
120,1.17027743203309000000
130,1.16762519322705000000
140,1.16314650530302000000
150,1.15922597773280000000
160,1.15818260841652000000
170,1.15540649979613000000
180,1.15305282516049000000
190,1.15110353822772000000
200,1.14922613870822000000
225,1.14409127978973000000
240,1.14186212092093000000
250,1.14086044234370000000
275,1.13653600807271000000
300,1.13373084578294000000
325,1.13142813783572000000
350,1.12877668956749000000
375,1.12694559249150000000
400,1.12577323982812000000
425,1.12370832436264000000
450,1.12224085792179000000
500,1.12063197536540000000
511,1.12006007970793000000
550,1.11776616331255000000
600,1.11681112772694000000
662,1.11463657654360000000
700,1.11522493490584000000
800,1.11376740628387000000
900,1.11129964560977000000
1000,1.11053529288852000000
1117,1.10814516244507000000
1173,1.10765692732582000000
1250,1.10760584364938000000
1332,1.10684583812187000000
1500,1.10571909419710000000
1700,1.10438446485901000000
1750,1.10395862807455000000
2000,1.10329297308515000000
2400,1.10050107747809000000
2500,1.10033865817039000000
3000,1.09703759048152000000
3500,1.09371440352311000000
4000,1.09157837224963000000
4440,1.08833917605021000000
5000,1.08637733929058000000
6000,1.08081404842433000000
6129,1.08011941698724000000
7000,1.07552132755731000000
8000,1.07114053540240000000
9000,1.06658020535283000000
10000,1.06303055775320000000
12500,1.05419288150617000000
15000,1.04725168061375000000
17500,1.04103898085657000000
20000,1.03650980520072000000
25000,1.02890825444722000000
30000,1.02354447508897000000
35000,1.01767711717013000000
40000,1.01633461976557000000
45000,1.01232902673957000000
50000,1.01131209283473000000
