E keV,hK 0 Sv/Gy,hK 15 Sv/Gy,hK 30 Sv/Gy,hK 45 Sv/Gy,hK 60 Sv/Gy,hK 75 Sv/Gy
2,0.01948228445312390000,0.01694085244222240000,0.01045819346027440000,0.00369049018911897000,0.00035052053182428200,0.00000144322680446739
3,0.31686895054243200000,0.30322539426073200000,0.26103084558953600000,0.18852168979243100000,0.09062388527112250000,0.00881516517200780000
4,0.58580555187803800000,0.57486570864391000000,0.53927978180186300000,0.46923963603854000000,0.34261409423662600000,0.12608064539561700000
5,0.75517315419324400000,0.74800832350829800000,0.72403870812593600000,0.67434083710217800000,0.57392899179388900000,0.34311722801959400000
6,0.84379408369291200000,0.83915077708672200000,0.82370755288840100000,0.79087542743208100000,0.72070886100453100000,0.53530557596991300000
7,0.89198076938654100000,0.88902131096123700000,0.87886908184139100000,0.85694335507305400000,0.80860124505624500000,0.67060041196327800000
8,0.91908692170700700000,0.91712183004707300000,0.91022706879196300000,0.89545500045177600000,0.86164187154465100000,0.75989755680707800000
9,0.93675903379903100000,0.93535213120893100000,0.93041714981596500000,0.92007100461492200000,0.89537445299485900000,0.81987789554457100000
10,0.94894032985570100000,0.94783352075453800000,0.94416215397994800000,0.93679242508683800000,0.91813864243065100000,0.86082752726554900000
11,0.95897270244461700000,0.95811435452863100000,0.95524219034821600000,0.94920074155493000000,0.93490594741562600000,0.88984268182636300000
12,0.96704426767584700000,0.96644862590624400000,0.96426460608436700000,0.95952689518848600000,0.94782489324332900000,0.91121277913840900000
13,0.97490732441823100000,0.97432971232124500000,0.97283515774636000000,0.96840825622009000000,0.95828289634617500000,0.92785972202734100000
14,0.98421216015677900000,0.98371555705976700000,0.98234868226168400000,0.97848616427267600000,0.96910576344222700000,0.94250956814648300000
15,0.99262685404439100000,0.99166729982574900000,0.99042650079802700000,0.98665235085634300000,0.97778574879606400000,0.95258145798640400000
16,1.00319018398523000000,1.00306885088277000000,1.00117036284617000000,0.99784951131423600000,0.98851350955079800000,0.96440163098065900000
17,1.01505884162335000000,1.01389911979156000000,1.01350624573391000000,1.00878941669281000000,0.99926572488302900000,0.97555944605480400000
18,1.02421155517636000000,1.02307480539259000000,1.02176167987999000000,1.01667227549678000000,1.00719899674635000000,0.98209480805769200000
19,1.03713266509364000000,1.03538777894303000000,1.03364548797068000000,1.02878821753831000000,1.01790114641564000000,0.99161220289290900000
20,1.05325792121023000000,1.04968340903006000000,1.04833115438127000000,1.04300196465961000000,1.03128043959136000000,1.00296826556633000000
22,1.08424734577447000000,1.08232262418711000000,1.07988590900668000000,1.07141014165585000000,1.05761090416087000000,1.02496242433727000000
24,1.11751598808965000000,1.11536243688737000000,1.11108833495934000000,1.10254980965370000000,1.08364928300468000000,1.04391906620240000000
26,1.15484957701899000000,1.15225324253828000000,1.14817005015356000000,1.13660048744329000000,1.11418960990670000000,1.06753568526510000000
28,1.19518503306889000000,1.19119511823750000000,1.18512561143338000000,1.17228534006690000000,1.14614101533134000000,1.08861148804057000000
30,1.23465697003948000000,1.23163538137373000000,1.22525140603477000000,1.20869630263489000000,1.17672288067366000000,1.11153408335978000000
32,1.27807408446059000000,1.27553590768144000000,1.26833004984727000000,1.24880806106531000000,1.21242830460095000000,1.13826516975419000000
34,1.32406547954828000000,1.32098625750282000000,1.31020805926718000000,1.28921952992617000000,1.24789209979636000000,1.16343922510513000000
36,1.36543921586133000000,1.36149100025888000000,1.35181001646600000000,1.32624860364158000000,1.28035791812751000000,1.18839612329037000000
38,1.40835614433058000000,1.40585676680255000000,1.39204182834897000000,1.36484997639441000000,1.31189564932695000000,1.21312208555790000000
40,1.44811820930447000000,1.44593600634429000000,1.43249741716615000000,1.40117192531886000000,1.34657963045571000000,1.23703742321342000000
