E keV,hK 0 Sv/Gy,hK 15 Sv/Gy,hK 30 Sv/Gy,hK 45 Sv/Gy,hK 60 Sv/Gy,hK 75 Sv/Gy,hK 90 Sv/Gy
2,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
3,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
4,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
5,0.00000729213699069969,0.00000559465566391990,0.00000131462151919253,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
6,0.00111985151411582000,0.00088937930952228500,0.00041068521383125400,0.00007869238237236240,0.00000445531870016372,0.00000084200470141563,0.00000000000000000000
7,0.01428378652556560000,0.01234626911042210000,0.00752582262859228000,0.00270785496999514000,0.00033561537159250400,0.00001857503307073920,0.00000049961546960922
8,0.05931177802822960000,0.05382375557212480000,0.03882447638529070000,0.01958414209062730000,0.00466280785003050000,0.00024681301379135100,0.00000462911013228039
9,0.13956114307088600000,0.13040704919519700000,0.10359447550210300000,0.06423090212330640000,0.02318972467618930000,0.00210049605340360000,0.00003273364331226250
10,0.24079796921084400000,0.22923579650539100000,0.19393246792043600000,0.13670213189302700000,0.06470341815575570000,0.01010565339696160000,0.00013921775105906700
11,0.34637859850006500000,0.33368835393313000000,0.29468581905782900000,0.22623540896951200000,0.12843030378562800000,0.03076718735214300000,0.00055927298112997900
12,0.44597063881129400000,0.43348175304276300000,0.39368454867780100000,0.32129526635279900000,0.20709846044368400000,0.06779223377430650000,0.00197402673059283000
13,0.53505302847013000000,0.52294212353137600000,0.48500587426329400000,0.41272022910620300000,0.29137908920590300000,0.11906032313396000000,0.00608372531365895000
14,0.61310430051370100000,0.60230124501898400000,0.56615921496571900000,0.49703943656015800000,0.37521459107281800000,0.18118726461655100000,0.01463925263812760000
15,0.67989299078821600000,0.67017736781147600000,0.63707546651904300000,0.57239062563850500000,0.45385429339131600000,0.24841328989820100000,0.03076613942634360000
16,0.73917991742228800000,0.73084751147380100000,0.70028437819239500000,0.64031081600980800000,0.52678590176303200000,0.31691795541701400000,0.05345254883159750000
17,0.79152897847139000000,0.78387301566222100000,0.75610138586425900000,0.70029542166213700000,0.59296182541595700000,0.38362378350645000000,0.08422309674673990000
18,0.83576241893555600000,0.82833511732506800000,0.80303985012592200000,0.75130338919344000000,0.65024964556732000000,0.44648693109902700000,0.11938007982845500000
19,0.87653067653105200000,0.87028608665583000000,0.84754815253002500000,0.79897382365330400000,0.70406559127494200000,0.50576411126791700000,0.15885569281812800000
20,0.91673738081999800000,0.91035267474348100000,0.88880429173523400000,0.84357929035990000000,0.75382096410085500000,0.56185413473355700000,0.20155452965886900000
22,0.98729286552700100000,0.98134571183911100000,0.96239324404253700000,0.92167811494852000000,0.84031321009771500000,0.66131041942594300000,0.28897938656167900000
24,1.04821447630497000000,1.04365086426281000000,1.02610456279036000000,0.98880883679061400000,0.91287977436498100000,0.74516703181551000000,0.37344509438812900000
26,1.10743459943383000000,1.10324682153681000000,1.08742632725918000000,1.05290042504154000000,0.98003308963341500000,0.82008789248661500000,0.45253127955183800000
28,1.16270548836056000000,1.15934694660327000000,1.14320427815697000000,1.10853546001726000000,1.03930616379452000000,0.88643834380973500000,0.52481006859554400000
30,1.21488784887300000000,1.21013738406724000000,1.19489112791052000000,1.16109070031349000000,1.09382561095648000000,0.94542954674920200000,0.58992813993671300000
32,1.26778781554054000000,1.26360532951800000000,1.24789274689280000000,1.21340136722723000000,1.14675006125323000000,1.00078695107486000000,0.65194500876280400000
34,1.31728850852744000000,1.31259466720658000000,1.29624551044370000000,1.26284946374864000000,1.19572436134589000000,1.05145217101746000000,0.70889690002661200000
36,1.36150906203562000000,1.35670646785602000000,1.34108484283228000000,1.30653431181129000000,1.23910448217615000000,1.09796450744023000000,0.75902098341717400000
38,1.40604525293821000000,1.40119915120821000000,1.38328208983194000000,1.34845194034618000000,1.28145603196725000000,1.14024333055990000000,0.80516725277421500000
40,1.44758087611737000000,1.44151799571973000000,1.42387480397435000000,1.38888212403227000000,1.32158205373598000000,1.18083511744614000000,0.84827878504689800000
42,1.48434749100864000000,1.47811149631309000000,1.46008133773685000000,1.42463106354371000000,1.35675813577048000000,1.21757796430474000000,0.88792882442079200000
44,1.51704603598800000000,1.51224602070575000000,1.49403490744899000000,1.45954233532028000000,1.38997829474742000000,1.25179092011431000000,0.92415972625121900000
46,1.54849606931021000000,1.54346500215887000000,1.52446442367870000000,1.48888941585225000000,1.42093170169131000000,1.28322858453393000000,0.95758829394161100000
48,1.57627357432132000000,1.56932443721687000000,1.54973806622750000000,1.51501921135045000000,1.44611811450017000000,1.30944280789763000000,0.98742140431621500000
50,1.60017946576178000000,1.59399500803150000000,1.57449017980520000000,1.53909045569292000000,1.47036182136899000000,1.33466754293384000000,1.01464284337013000000
52,1.61850293211782000000,1.61418777381547000000,1.59510261058558000000,1.55927810843782000000,1.49095959544948000000,1.35661047219689000000,1.03960562134047000000
54,1.63363183767568000000,1.62874625429593000000,1.61030615605162000000,1.57446861455259000000,1.50866218963874000000,1.37529172140004000000,1.06049928497422000000
56,1.64528430330770000000,1.64077408683972000000,1.62139234580166000000,1.58716955462912000000,1.52152762035872000000,1.39018280294672000000,1.07766746592584000000
58,1.65610625107187000000,1.65229105274849000000,1.63355625772962000000,1.59875420473100000000,1.53349260089044000000,1.40495453705237000000,1.09511700817245000000
60,1.66611610714849000000,1.66240783054582000000,1.64411785611573000000,1.60939204555687000000,1.54559711756186000000,1.41847865266540000000,1.11000032104027000000
65,1.67473047754686000000,1.67012232301730000000,1.65353296671088000000,1.62076739898690000000,1.56022578258128000000,1.43752175059068000000,1.13799170616920000000
70,1.66966719468191000000,1.66541378729085000000,1.64953439969754000000,1.62111533698095000000,1.56345803679097000000,1.44688316755439000000,1.15506791380597000000
75,1.66409468254944000000,1.65999964318039000000,1.64506660487971000000,1.61877214156265000000,1.56532110137715000000,1.45300002154034000000,1.16893360636093000000
80,1.65082909857324000000,1.64755346675977000000,1.63507628739757000000,1.60982414396286000000,1.55976653415891000000,1.45280226621377000000,1.17547536549741000000
85,1.63534072630589000000,1.63271215830232000000,1.62025503167672000000,1.59731220442820000000,1.55131226436578000000,1.44908382614012000000,1.17896989238231000000
90,1.61802983829717000000,1.61467462772818000000,1.60381793011468000000,1.58398672618248000000,1.54096910774910000000,1.44350433243998000000,1.18021577624529000000
95,1.59983132624735000000,1.59731309246432000000,1.58807091486883000000,1.56904137504442000000,1.52885347920789000000,1.43632785856097000000,1.17951993503704000000
100,1.58223799834203000000,1.58120216331856000000,1.57237290288046000000,1.55461573104964000000,1.51683241543184000000,1.42888508939197000000,1.17757178250856000000
110,1.55129441153284000000,1.55026886551619000000,1.54309004339965000000,1.52844257094445000000,1.49607098798412000000,1.41480761340396000000,1.17507508477281000000
120,1.52301425410517000000,1.52250982448814000000,1.51657773219187000000,1.50495567381551000000,1.47672779244653000000,1.40162831106317000000,1.17120486200404000000
130,1.49599024106183000000,1.49540399491676000000,1.49119035074908000000,1.48067456052192000000,1.45673006953429000000,1.38735150230388000000,1.16569549889200000000
140,1.47043677014592000000,1.46956797441763000000,1.46619303716539000000,1.45822350711926000000,1.43713850309785000000,1.37274737354278000000,1.15975875922826000000
150,1.44702075668452000000,1.44627037816087000000,1.44418769491158000000,1.43797027285854000000,1.41948645902105000000,1.35951743251930000000,1.15423530783699000000
160,1.43013861713084000000,1.42957295368097000000,1.42815879505630000000,1.42335065573241000000,1.40759692865357000000,1.35146897284033000000,1.15198775724409000000
170,1.41322615116838000000,1.41230787556658000000,1.41138959996478000000,1.40850359093055000000,1.39433591021709000000,1.34133828977041000000,1.14941868899446000000
180,1.39727053990380000000,1.39739274302956000000,1.39714833677805000000,1.39470427426291000000,1.38285057106450000000,1.33299169575570000000,1.14699853835378000000
190,1.38275240686581000000,1.38332383938373000000,1.38355241239090000000,1.38160954182997000000,1.37189518902530000000,1.32560915507368000000,1.14457933339624000000
200,1.37075293759073000000,1.37075293759073000000,1.37182568210286000000,1.37118203539558000000,1.36195643259133000000,1.31840300539913000000,1.14247290541097000000
225,1.34290901015470000000,1.34328121331716000000,1.34486307675762000000,1.34560748308254000000,1.33983833406441000000,1.30205971307475000000,1.13838337238308000000
240,1.32972464897942000000,1.32972464897942000000,1.33205115011488000000,1.33368831758057000000,1.32963848227069000000,1.29474096523877000000,1.13619422119249000000
250,1.32112180297990000000,1.32177870983700000000,1.32415999719398000000,1.32621283112240000000,1.32284618347978000000,1.29000084062491000000,1.13505293570708000000
275,1.30140690107529000000,1.30177430181524000000,1.30478698788289000000,1.30772619380254000000,1.30691791217464000000,1.27723193238612000000,1.13174123936319000000
300,1.28479131944930000000,1.28578908645897000000,1.28904845869056000000,1.29270693772601000000,1.29310604452987000000,1.26743017348108000000,1.12933921934301000000
325,1.27097512704927000000,1.27182657942647000000,1.27517157090832000000,1.27991537700985000000,1.28107091952176000000,1.25881152166072000000,1.12750540149136000000
350,1.25787998086165000000,1.25911325148774000000,1.26303729438896000000,1.26791431913761000000,1.27054903365699000000,1.25064853037227000000,1.12575185060224000000
