E keV,hK 0 Sv/Gy,hK 15 Sv/Gy,hK 30 Sv/Gy,hK 45 Sv/Gy,hK 60 Sv/Gy,hK 75 Sv/Gy,hK 90 Sv/Gy,hK 180 Sv/Gy
2,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
3,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
4,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
5,0.00000634420306666114,0.00000538697938874954,0.00000130032296040934,0.00000007878603107653,0.00000000681461637773,0.00000000402966755007,0.00000000000000000000,0.00000000000000000000
6,0.00112405427977154000,0.00088533011687857800,0.00040628328568474300,0.00007988320446409310,0.00000436644371952231,0.00000059607425342612,0.00000000883542314778,0.00000000000000000000
7,0.01425029660149110000,0.01230030147629840000,0.00752068994758695000,0.00265693134241368000,0.00031554073941656000,0.00001764713196353770,0.00000039003501608920,0.00000000000000000000
8,0.05926076530594960000,0.05371490081144410000,0.03867795072013880000,0.01921435451573800000,0.00437262795243478000,0.00020517424180800400,0.00000405505802897121,0.00000000000000000000
9,0.13950216974549900000,0.13028759191576900000,0.10351082790438100000,0.06328150677232270000,0.02205081167637610000,0.00166770539354636000,0.00002251698939837960,0.00000000000000000000
10,0.24054161651549800000,0.22900383430694400000,0.19372600807765000000,0.13533033236556200000,0.06240822640948600000,0.00835613305188066000,0.00008682181111936510,0.00000000000000000000
11,0.34611696195718000000,0.33353995693648500000,0.29414678262056500000,0.22459465206559200000,0.12511072703625900000,0.02631936836269020000,0.00027484726683991000,0.00000000000000000000
12,0.44590904727324400000,0.43329128516238800000,0.39334984805795500000,0.31942042498590000000,0.20298602652139700000,0.05965446896565380000,0.00083819260557535200,0.00000000000000000000
13,0.53458352705241200000,0.52278058879803900000,0.48436834778269200000,0.41086344213603900000,0.28674816955489900000,0.10757535151842700000,0.00250114273031003000,0.00000000000000000000
14,0.61285905321367700000,0.60177733667777900000,0.56590838231924700000,0.49546694183201000000,0.37023428448901200000,0.16646343388059800000,0.00661507480123355000,0.00000000000000000000
15,0.67965587447812300000,0.66963567413830200000,0.63660479944667900000,0.57065040935278800000,0.44872604307504100000,0.23130558891582500000,0.01477263821527850000,0.00000000000000000000
16,0.73949511719915200000,0.73003655436099100000,0.69981027746513000000,0.63857636413460300000,0.52178367517644500000,0.29845055689297100000,0.02831564720255280000,0.00000000000000000000
17,0.79139861566850900000,0.78291666698092000000,0.75531518755003700000,0.69851893445966300000,0.58792557035629500000,0.36444262399656500000,0.04766292823285410000,0.00000000000000000000
18,0.83515884576588000000,0.82747447285922000000,0.80230152713050700000,0.74983580866434700000,0.64569930686030100000,0.42647739675210000000,0.07243448888843230000,0.00000000000000000000
19,0.87628798418606600000,0.86938339199984200000,0.84611015454455400000,0.79730183046952500000,0.69903043650870500000,0.48543449633402100000,0.10180106910429500000,0.00000000000000000000
20,0.91596073499075100000,0.90931707984466600000,0.88772520061988900000,0.84195041666336300000,0.74873993496378900000,0.54117221723465300000,0.13479976291406600000,0.00000000000000000000
22,0.98578481057937100000,0.98023569078471900000,0.96122179501774900000,0.92009302477503400000,0.83514252909513900000,0.64011544972397700000,0.20663942858850000000,0.00000005595879289392
24,1.04674485435185000000,1.04163590631109000000,1.02424583317233000000,0.98632171886974200000,0.90730004753923800000,0.72330914377119600000,0.27976402973220300000,0.00000329320825727611
26,1.10588377771139000000,1.10107296016797000000,1.08453722740398000000,1.04863040081176000000,0.97338874961933200000,0.79736395699185000000,0.35100375535421900000,0.00002811074569878140
28,1.16023661990009000000,1.15567765364455000000,1.13968745152571000000,1.10466322708775000000,1.03178740744802000000,0.86171226274582400000,0.41734156968364300000,0.00011550147772453700
30,1.21184911758058000000,1.20728383682703000000,1.19125876969212000000,1.15663095989477000000,1.08467343944593000000,0.91847548058448000000,0.47775507804261600000,0.00035180612500840200
32,1.26440204744826000000,1.25960295507275000000,1.24338837458345000000,1.20848909252921000000,1.13666150039433000000,0.97243373630898500000,0.53453420076598000000,0.00085660270158398300
34,1.31329221467572000000,1.30867861368033000000,1.29208549078703000000,1.25668154838461000000,1.18448760319490000000,1.02142749934485000000,0.58636294539302200000,0.00175255455150748000
36,1.35816609272608000000,1.35405835914896000000,1.33694646365925000000,1.30067978913611000000,1.22779497625437000000,1.06537475128524000000,0.63318406609890700000,0.00311484824190200000
38,1.40283669409883000000,1.39803914641583000000,1.38046421043140000000,1.34319280983891000000,1.26925271564926000000,1.10669058486323000000,0.67662298126067900000,0.00492001774444806000
40,1.44450472350236000000,1.43963233936346000000,1.42132160542211000000,1.38320698756134000000,1.30818275006772000000,1.14527222877833000000,0.71665959823690500000,0.00722946545512906000
42,1.48260362629849000000,1.47741249640108000000,1.45845358721053000000,1.41960475096740000000,1.34371268888022000000,1.18072813769896000000,0.75372949097430200000,0.00995765922441159000
44,1.51864767659677000000,1.51280463885015000000,1.49331780677768000000,1.45362129260223000000,1.37693895186574000000,1.21369531997580000000,0.78811736451365700000,0.01312876367911890000
46,1.55050840630474000000,1.54502349318137000000,1.52518851665384000000,1.48481700494347000000,1.40758177479929000000,1.24408671908121000000,0.81967562164569600000,0.01655933538780640000
48,1.57817355672329000000,1.57257862223569000000,1.55264457421102000000,1.51187190791517000000,1.43401186151291000000,1.27055266771057000000,0.84768282877367500000,0.02009687066904500000
50,1.60418556143237000000,1.59859472543443000000,1.57818817404197000000,1.53692081583221000000,1.45875394003609000000,1.29553647162139000000,0.87377778102720000000,0.02398293929489000000
52,1.62709341102615000000,1.62101811891937000000,1.60058633296503000000,1.55914416180807000000,1.48099710083933000000,1.31837454962396000000,0.89823917047780800000,0.02765993706329020000
54,1.64422754723980000000,1.63805267341414000000,1.61755655607716000000,1.57626673712245000000,1.49852284377529000000,1.33700897539569000000,0.91923784325120800000,0.03140667301049800000
56,1.65783286529005000000,1.65144004684103000000,1.63089170182630000000,1.58979501179684000000,1.51262456051931000000,1.35246162687674000000,0.93742311007001700000,0.03525068587276480000
58,1.67058697416571000000,1.66423507970525000000,1.64374634696387000000,1.60300126786383000000,1.52646868582800000000,1.36771005538019000000,0.95491437757762200000,0.03904865850633780000
60,1.68150627887614000000,1.67577712630756000000,1.65548964769145000000,1.61518937585635000000,1.53945468779234000000,1.38209919601168000000,0.97124832345717100000,0.04260370509383260000
65,1.69332090903512000000,1.68736843226272000000,1.66808240752013000000,1.62935162532102000000,1.55657267598375000000,1.40410990425323000000,1.00080976133359000000,0.05052065452632030000
70,1.69176207931675000000,1.68609690701263000000,1.66799982881893000000,1.63149094063684000000,1.56240731170609000000,1.41586031981142000000,1.02142269813731000000,0.05751330132908130000
75,1.68752075791940000000,1.68256119311928000000,1.66552950934833000000,1.63131235685139000000,1.56599219719712000000,1.42508673213949000000,1.03839446268528000000,0.06329404287159020000
80,1.67604451432112000000,1.67176841628126000000,1.65622572949288000000,1.62432231976936000000,1.56289524184017000000,1.42784491070285000000,1.04928009206052000000,0.06762184256781800000
85,1.66069226804560000000,1.65666085542043000000,1.64228333959791000000,1.61302884090197000000,1.55544742517606000000,1.42629951629885000000,1.05644416510272000000,0.07140595017064330000
90,1.64417630065735000000,1.64002081374636000000,1.62694124838720000000,1.60006682893828000000,1.54607956046359000000,1.42267522375456000000,1.06094349429005000000,0.07472723552468690000
95,1.62671339006599000000,1.62259644140936000000,1.61063459846214000000,1.58583565576669000000,1.53539493049333000000,1.41720284543762000000,1.06340459631583000000,0.07727220876228660000
100,1.60903948639665000000,1.60534401397865000000,1.59450396155255000000,1.57180760178539000000,1.52462873724904000000,1.41133171203414000000,1.06481958164054000000,0.07946189566784560000
110,1.57654596755068000000,1.57337238653110000000,1.56463111951226000000,1.54558963339479000000,1.50444443386025000000,1.40021735195409000000,1.06743675977827000000,0.08311720043996430000
120,1.54722743208848000000,1.54503549926551000000,1.53782983504286000000,1.52200760730920000000,1.48575253452459000000,1.38915632253281000000,1.06842868073434000000,0.08665189147191740000
130,1.51840811816860000000,1.51680680793189000000,1.51101921521922000000,1.49788847127820000000,1.46615965273084000000,1.37653203119618000000,1.06718176932451000000,0.08931422224547540000
